FILE OFFSET 	DATA 	DESCRIPTION
687		byte	changed from 0 to 1
688		byte	changed from 0 to 3  (could be 0 to 769 including above value)
699		byte	changed from 0 to 3
913		byte	changed from 11 to 27

986-1014 	long 	Battle 1 Scores. off 986=Mission1 => 1014=Mission8 ****  (difference of 32 between B1 and B2)
1018-1046 	long 	Battle 2 Scores. off 1018=Mission1 => 1046=Mission8 ****
1050-1078 	long 	Battle 3 Scores. off 1050=Mission1 => 1078=Mission8 ****
1082-1110 	long 	Battle 4 Scores. off 1082=Mission1 => 1110=Mission8 ****
1114-1142 	long 	Battle 5 Scores. off 1114=Mission1 => 1142=Mission8 ****
1146-1174 	long 	Battle 6 Scores. off 1146=Mission1 => 1174=Mission8 ****
1178-1206 	long 	Battle 7 Scores. off 1178=Mission1 => 1206=Mission8 ****
1210-1238 	long 	Battle 8 Scores. off 1178=Mission1 => 1206=Mission8 ****
1242-1270 	long 	Battle 9 Scores. off 1178=Mission1 => 1206=Mission8 ****
1274-1302 	long 	Battle 10 Scores. off 1178=Mission1 => 1206=Mission8 ****
1306-1334 	long 	Battle 11 Scores. off 1178=Mission1 => 1206=Mission8 ****
1338-1366 	long 	Battle 12 Scores. off 1178=Mission1 => 1206=Mission8 ****
1370-1398 	long 	Battle 13 Scores. off 1178=Mission1 => 1206=Mission8 ****

1402-1625	???	Empty

1626 		word 	Total Kills.
1628 		word 	Total Captures.
1630		word	???

1632-1769	word	Ship kills

1770-1907	???	Data in this area (70A(1802), 728(1832), 760(1888))

1908		word	Lasers Fired
1912		word	Lasers Hit
1920		word	Warheads Fired
1922		word	Warheads Hit
1926 		word 	Number of Craft Lost.

1928			Backup file starts

*	"byte" references an unsigned character. (1) (all data formats are unsigned)  max amount will be reported as -1
	"word" is a 16-bit unsigned value. (2)
	"long" is a 32-bit signed value. (4) (max 79 FF FF FF or 2046820351) *** Not a 64 bit long
** 	Vehicles are ordered as in Listing 3.
*** 	There are currently four historical missions for each flyable craft.
	The pilot file has storage slots for eight historical missions per craft.
**** 	The pilot file has provisions for eight missions per battle.

3856 bytes total, first 1928 are active pilot, next 1928 are backup
